sample,fastq_1,fastq_2,strandedness
431_WT_Untreated,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB1_431WTUntreated_S1_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB1_431WTUntreated_S1_R2_001.fastq.gz,auto
431_WT_Taurine,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB2_431WTTaurine_S2_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB2_431WTTaurine_S2_R2_001.fastq.gz,auto
433_TTN_Untreated,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB3_433TTN23Untreated_S3_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB3_433TTN23Untreated_S3_R2_001.fastq.gz,auto
433_TTN_Taurine,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB4_433TTN23Taurine_S4_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB4_433TTN23Taurine_S4_R2_001.fastq.gz,auto
439_WT_Untreated,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB5_439WTUntreated_S5_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB5_439WTUntreated_S5_R2_001.fastq.gz,auto
439_WT_Taurine,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB6_439WTTaurine_S6_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB6_439WTTaurine_S6_R2_001.fastq.gz,auto
440_TTN_Untreated,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB7_440TTN23Untreated_S7_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB7_440TTN23Untreated_S7_R2_001.fastq.gz,auto
440_TTN_Taurine,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB8_440TTN23Taurine_S8_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB8_440TTN23Taurine_S8_R2_001.fastq.gz,auto
441_WT_Untreated,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB9_441WTUntreated_S9_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB9_441WTUntreated_S9_R2_001.fastq.gz,auto
441_WT_Taurine,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB10_441WTTaurine_S10_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB10_441WTTaurine_S10_R2_001.fastq.gz,auto
443_TTN_Untreated,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB11_443TTN23Untreated_S11_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB11_443TTN23Untreated_S11_R2_001.fastq.gz,auto
443_TTN_Taurine,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB12_443TTN23Taurine_S12_R1_001.fastq.gz,/home/rmgpibo/Scratch/taurine-biosynthesis/data/rnaseq/raw/250624_VH00409_30_AAH33KTM5/RB12_443TTN23Taurine_S12_R2_001.fastq.gz,auto